_id,ltable_id,rtable_id,ltable_title,ltable_year,rtable_title,rtable_year
595,466699,646903,memoirs of the last samurai's geisha,2008,the art of kissing,2008.0
596,466699,674870,memoirs of the last samurai's geisha,2008,the mysteries of pittsburgh,2008.0
597,466699,701527,memoirs of the last samurai's geisha,2008,trailer park of terror,2008.0
598,466699,720363,memoirs of the last samurai's geisha,2008,wetlands preserved: the story of an activist nightclub,2008.0
599,466885,700076,memories of fire,2014,top of the pops: the story of 1979,2014.0
600,467078,548526,memphis gold: blues behind the music documentary,2012,music high,2012.0
601,468822,556583,meshes of the afternoon  later,2010,night of pop,2010.0
602,468822,665397,meshes of the afternoon  later,2010,the hooker with a heart of gold,2010.0
603,468822,668240,meshes of the afternoon  later,2010,the king of fighters,2010.0
604,468822,690828,meshes of the afternoon  later,2010,the weird world of blowfly,2010.0
605,469703,356981,mexicali rose,1929,baby rose marie the child wonder,1929.0
606,469720,556257,mexican donald trump hosts mexican saturday night live,2015,night fall,2015.0
607,470449,6323,mi tu sha ji,2016,a mi manera,2016.0
608,470912,309718,michael jackson: the life and times of the king of pop,2009,united states of tara,2009.0
609,470912,437456,michael jackson: the life and times of the king of pop,2009,fathers of girls,2009.0
610,470912,518575,michael jackson: the life and times of the king of pop,2009,life by lobster,2009.0
611,470912,545383,michael jackson: the life and times of the king of pop,2009,morris: a life with bells on,2009.0
612,470912,694432,michael jackson: the life and times of the king of pop,2009,this beat goes on: canadian pop music in the 1970s,2009.0
613,470973,715750,michael and claire: a portrait of love and dreams,2004,wwe day of reckoning,2004.0
614,472032,158876,mientras la prisi?n exista,2015,morfi  todos a la mesa,2015.0
615,472032,158904,mientras la prisi?n exista,2015,morfi  todos a la mesa,2015.0
616,472032,427477,mientras la prisi?n exista,2015,el making of del disc de la marató,2015.0
617,479974,543680,mon p?re  ma m?re  mes fr?res et mes soeurs,1999,mon père  ma mère  mes frères et mes soeurs,1999.0
618,480432,226736,money wars,2010,storage wars,2010.0
619,482197,544989,mop king,2013,mop king,2013.0
620,482418,251792,more afraid of you,2012,the legend of korra,2012.0
621,482418,593595,more afraid of you,2012,revenge of the petites,2012.0
622,482418,616048,more afraid of you,2012,sing me the songs that say i love you: a concert for kate mcgarrigle,2012.0
623,482418,671464,more afraid of you,2012,the lords of salem,2012.0
624,483133,518575,morris: a life with bells on,2009,life by lobster,2009.0
625,483133,545383,morris: a life with bells on,2009,morris: a life with bells on,2009.0
626,483397,3082,mosca detr?s de la oreja de bart?k,2009,50 años de,2009.0
627,483397,3094,mosca detr?s de la oreja de bart?k,2009,50 años de,2009.0
628,483397,384215,mosca detr?s de la oreja de bart?k,2009,canção de amor e saúde,2009.0
629,483397,506796,mosca detr?s de la oreja de bart?k,2009,la barrera del sonido,2009.0
630,483397,506813,mosca detr?s de la oreja de bart?k,2009,la barrera del sonido,2009.0
631,484564,546084,mountain family robinson,1979,mountain family robinson,1979.0
632,486175,546771,mr. mean,1977,mr. mean,1977.0
633,486801,547263,mrs. miniver,1942,mrs. miniver,1942.0
634,489531,548526,music high,2012,music high,2012.0
635,491037,549270,my best friend is a vampire,1987,my best friend is a vampire,1987.0
636,492585,309718,my little pony: reign of buttercup sprinkles,2009,united states of tara,2009.0
637,492585,437456,my little pony: reign of buttercup sprinkles,2009,fathers of girls,2009.0
638,492958,33814,my name was bette: the life and death of an alcoholic,2011,body of proof,2011.0
639,492958,180734,my name was bette: the life and death of an alcoholic,2011,person of interest,2011.0
640,492958,235690,my name was bette: the life and death of an alcoholic,2011,the adventures of superseven,2011.0
641,492958,657576,my name was bette: the life and death of an alcoholic,2011,the economics of happiness,2011.0
642,496401,552225,nae yeojachingureul sogae habnida,2004,nae yeojachingureul sogae habnida,2004.0
643,501314,554095,nefes: vatan sagolsun,2009,nefes: vatan sagolsun,2009.0
644,501548,554219,neighbors 2: sorority rising,2016,neighbors 2: sorority rising,2016.0
645,501596,383396,neil diamond: radio 2 electric prom,2010,camp rock 2: the final jam,2010.0
646,501596,486786,neil diamond: radio 2 electric prom,2010,iron man 2,2010.0
647,501596,495758,neil diamond: radio 2 electric prom,2010,just dance 2,2010.0
648,501599,554344,neil gaiman: dream dangerously,2016,neil gaiman: dream dangerously,2016.0
649,504195,175426,new york christmas party,2013,orange is the new black,2013.0
650,504195,343528,new york christmas party,2013,all american christmas carol,2013.0
651,504195,391689,new york christmas party,2013,christmas in the city,2013.0
652,505258,675707,nice package,2016,the nice guys,2016.0
653,506430,338638,night time economy,2013,about time,2013.0
654,509627,147329,no mundo da lua,1983,mahô no tenshi kurîmî mami,1983.0
655,509770,167497,no outlet,2007,no disparen al pianista,2007.0
656,509770,425725,no outlet,2007,eiga de tôjô! tamagotchi dokidoki! uchû no maigotchi?!,2007.0
657,510281,168029,no u-turn,2010,no me la puc treure del cap,2010.0
658,512717,554314,norman... is that you?,1976,neil diamond: the thank you australia concert,1976.0
659,512717,559397,norman... is that you?,1976,norman... is that you?,1976.0
660,514943,560559,november children,1972,november children,1972.0
661,516383,561075,nunti muzici si casete video,2008,nunti muzici si casete video,2008.0
662,517129,282829,o angel of god,2013,the voice of the philippines,2013.0
663,517129,639815,o angel of god,2013,tao of simon,2013.0
664,518178,561620,o menino da porteira,2009,o menino da porteira,2009.0
665,518220,561637,o miradouro da lua,1993,o miradouro da lua,1993.0
666,518276,209887,o n?mero que marcou n?o se encontra atribuido,2001,shiawase-sô no okojo-san,2001.0
667,518525,185916,o que eu entendo por amor,2013,por siempre mi amor,2013.0
668,522033,33814,of love and breakfast,2011,body of proof,2011.0
669,522033,180734,of love and breakfast,2011,person of interest,2011.0
670,522033,235690,of love and breakfast,2011,the adventures of superseven,2011.0
